"","unicef_country","days_academic_break","days_fully_closed","days_fully_open","days_partially_closed","instruction_days","tracking_or_monitoring_of_student_learning","content_need_sensitive","Support_vulnerable","usage_of_remote_learning_platforms","parental_caregiver_support","curriculum_coverage","access_to_remote_learning","teacher_support","quality_remote_platform_content","date","c1_school_closing","c2_workplace_closing","c3_cancel_public_events","c4_restrictions_on_gatherings","c5_close_public_transport","c6_stay_at_home_requirements","c7_restrictions_on_internal_movement","c8_international_travel_controls","e1_income_support","e2_debt_contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h7_vaccination_policy","h8_protection_of_elderly_people","confirmed_cases","confirmed_deaths","stringency_index","government_response_index","economic_support_index","DV_Edu_prior_index","category"
"1","Afghanistan",1531,355,985,1087,1531,1000,2000,2000,0,1000,3000,2000,2000,2000,20200715,3000,3000,2000,4000,2000,2000,2000,1000,0,0,0,0,2000,1000,1000,0,0,3000,0,3000,35026,1098,78.7,60.42,0,25489,"high"
"2","Afghanistan",1531,355,985,1087,1531,1000,2000,2000,0,1000,3000,2000,2000,2000,20200815,2000,2000,0,4000,2000,2000,2000,1000,0,0,0,0,2000,1000,1000,0,0,3000,0,3000,37637,1374,60.19,50,0,24489,"middle"
"3","Afghanistan",1531,355,985,1087,1531,1000,2000,2000,0,1000,3000,2000,2000,2000,20200915,2000,0,0,0,0,0,0,1000,0,0,0,0,2000,3000,1000,0,0,3000,0,0,38901,1430,21.3,26.04,0,24489,"middle"
"4","Afghanistan",1531,355,985,1087,1531,1000,2000,2000,0,1000,3000,2000,2000,2000,20201015,1000,2000,0,0,0,0,0,0,0,0,0,0,1000,3000,1000,0,0,2000,0,0,40112,1485,16.67,21.88,0,23489,"middle"
"5","Afghanistan",1531,355,985,1087,1531,1000,2000,2000,0,1000,3000,2000,2000,2000,20201115,1000,0,0,0,0,0,0,1000,0,0,0,0,1000,3000,NA,0,0,3000,0,0,43035,1605,12.04,17.71,0,23489,"middle"
"6","Afghanistan",1531,355,985,1087,1531,1000,2000,2000,0,1000,3000,2000,2000,2000,20201215,1000,0,0,0,0,0,0,1000,0,0,0,0,1000,3000,1000,0,0,3000,0,0,49484,1975,12.04,20.83,0,23489,"middle"
"7","United Arab Emirates",355,229,1,1525,355,3000,3000,2000,3,3000,3000,3000,3000,3000,20200715,2000,1000,2000,4000,1000,0,1000,2000,0,2000,0,0,2000,3000,2000,0,0,3000,0,0,55848,335,56.48,55.21,50,30465,"high"
"8","United Arab Emirates",355,229,1,1525,355,3000,3000,2000,3,3000,3000,3000,3000,3000,20200815,2000,1000,2000,4000,1000,0,1000,2000,0,2000,0,0,2000,3000,2000,0,0,3000,0,0,64102,361,56.48,55.21,50,30465,"high"
"9","United Arab Emirates",355,229,1,1525,355,3000,3000,2000,3,3000,3000,3000,3000,3000,20200915,1000,1000,2000,4000,1000,0,1000,2000,0,2000,0,0,2000,3000,2000,0,0,3000,0,0,80940,401,54.63,54.17,50,29465,"high"
"10","United Arab Emirates",355,229,1,1525,355,3000,3000,2000,3,3000,3000,3000,3000,3000,20201015,1000,1000,2000,4000,1000,0,1000,2000,0,2000,0,0,2000,3000,2000,0,0,3000,0,0,111437,452,54.63,54.17,50,29465,"high"
"11","United Arab Emirates",355,229,1,1525,355,3000,3000,2000,3,3000,3000,3000,3000,3000,20201115,1000,1000,2000,4000,0,0,1000,2000,0,2000,0,0,2000,3000,2000,0,NA,4000,0,0,150345,530,49.07,52.6,50,29465,"high"
"12","United Arab Emirates",355,229,1,1525,355,3000,3000,2000,3,3000,3000,3000,3000,3000,20201215,1000,1000,2000,4000,0,0,1000,2000,0,2000,0,0,2000,3000,2000,0,0,3000,1000,0,187267,622,49.07,52.29,50,29465,"high"
"13","Benin",547,1267,1489,823,547,1000,1000,1000,1,1000,1000,2000,1000,2000,20200715,2000,1000,1000,3000,0,0,0,2000,2000,1000,0,0,2000,2000,2000,0,0,3000,0,0,1378,26,41.67,46.35,62.5,18673,"low"
"14","Benin",547,1267,1489,823,547,1000,1000,1000,1,1000,1000,2000,1000,2000,20200815,2000,1000,1000,3000,0,0,0,2000,2000,1000,0,0,2000,2000,2000,0,0,3000,0,0,2063,39,41.67,46.35,62.5,18673,"low"
"15","Benin",547,1267,1489,823,547,1000,1000,1000,1,1000,1000,2000,1000,2000,20200915,2000,1000,1000,3000,0,0,1000,2000,2000,1000,0,0,2000,2000,2000,0,0,3000,0,0,2267,40,47.22,49.48,62.5,18673,"low"
"16","Benin",547,1267,1489,823,547,1000,1000,1000,1,1000,1000,2000,1000,2000,20201015,2000,1000,1000,3000,0,0,1000,2000,2000,1000,0,0,2000,2000,2000,0,0,3000,0,0,2496,41,47.22,49.48,62.5,18673,"low"
"17","Benin",547,1267,1489,823,547,1000,1000,1000,1,1000,1000,2000,1000,2000,20201115,1000,1000,2000,3000,0,0,0,1000,2000,1000,0,0,2000,2000,2000,0,0,4000,0,0,2844,43,40.74,47.4,62.5,17673,"low"
"18","Benin",547,1267,1489,823,547,1000,1000,1000,1,1000,1000,2000,1000,2000,20201215,1000,1000,1000,3000,0,0,0,1000,2000,1000,0,0,2000,1000,2000,0,0,4000,0,0,3090,44,35.19,42.19,62.5,17673,"low"
"19","Burkina Faso",73,907,1339,1189,73,2000,2000,2000,3,3000,3000,3000,3000,3000,20200715,0,0,2000,3000,0,1000,0,4000,0,0,0,0,2000,1000,2000,0,0,3000,0,0,1038,53,45.37,38.54,0,27581,"high"
"20","Burkina Faso",73,907,1339,1189,73,2000,2000,2000,3,3000,3000,3000,3000,3000,20200815,0,0,2000,3000,0,1000,2000,2000,0,0,0,0,2000,1000,2000,0,0,3000,0,0,1240,54,48.15,40.1,0,27581,"high"
"21","Burkina Faso",73,907,1339,1189,73,2000,2000,2000,3,3000,3000,3000,3000,3000,20200915,0,0,2000,3000,0,0,0,2000,0,0,0,0,2000,3000,2000,0,0,3000,0,0,1733,56,36.11,37.5,0,27581,"high"
"22","Burkina Faso",73,907,1339,1189,73,2000,2000,2000,3,3000,3000,3000,3000,3000,20201015,0,0,2000,3000,0,0,0,1000,0,0,0,0,2000,3000,2000,0,0,3000,0,0,2335,65,33.33,35.94,0,27581,"high"
"23","Burkina Faso",73,907,1339,1189,73,2000,2000,2000,3,3000,3000,3000,3000,3000,20201115,0,0,0,3000,0,0,0,1000,0,0,0,0,2000,3000,2000,0,0,2000,0,0,2641,68,22.22,28.12,0,27581,"high"
"24","Burkina Faso",73,907,1339,1189,73,2000,2000,2000,3,3000,3000,3000,3000,3000,20201215,0,0,0,0,0,0,0,1000,0,0,0,0,2000,3000,2000,0,0,3000,0,0,4300,73,13.89,25,0,27581,"high"
"25","Bangladesh",1513,13,793,1525,1513,2000,2000,1000,3,2000,3000,3000,2000,3000,20200715,3000,1000,2000,4000,1000,2000,2000,3000,0,2000,0,0,2000,2000,1000,0,0,4000,0,0,193590,2457,74.54,61.72,50,29357,"high"
"26","Bangladesh",1513,13,793,1525,1513,2000,2000,1000,3,2000,3000,3000,2000,3000,20200815,3000,3000,2000,4000,1000,2000,2000,3000,0,2000,0,0,2000,2000,1000,0,0,4000,0,0,274525,3625,80.09,64.84,50,29357,"high"
"27","Bangladesh",1513,13,793,1525,1513,2000,2000,1000,3,2000,3000,3000,2000,3000,20200915,3000,3000,2000,4000,1000,2000,2000,3000,0,2000,0,0,2000,2000,1000,0,0,4000,0,0,341056,4802,80.09,64.84,50,29357,"high"
