"","country","m8_avg_scale_score","m8_scaled","s8_avg_scale_score","s8_scaled","m4_avg_scale_score","m4_scaled","s4_avg_scale_score","s4_scaled","TIMSS_score","talent_competitiveness_ranking_imd","position_2020","best_countries_for_education_ranking_us_news_2020","best_countries_for_education_ranking_us_news_2021","quality_of_education_system_ceoworld","opportunity_in_education_ceoworld","pisa_reading_2018","pisa_math_2018","pisa_science_2018","iv_index_no_timss","pisa_index","ceoworld_index"
"1","Singapore",40,4,40,3.9,34,3.9,34,3.4,148,55,9,19,21,76,76,75,76,76,388,227,152
"2","Chinese Taipei",39,2.7,39,1.9,31,1.9,30,1.8,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Korea, Rep. of",38,2.8,37,2.1,32,2.2,33,2.1,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Japan",37,2.7,38,2.1,30,1.8,31,1.8,136,26,38,11,7,80,80,63,73,74,408,210,160
"5","Hong Kong SAR",36,4.1,24,5.2,33,3.3,22,3.3,115,50,14,NA,NA,48,49,74,75,70,330,219,97
"6","Russian Federation",35,4.5,35,4.2,29,3.3,32,3,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ireland",34,2.6,31,2.9,27,2.5,20,3.2,112,46,18,20,20,68,68,70,58,57,339,185,136
"8","Lithuania",33,2.9,34,3,25,2.8,26,2.5,118,37,27,45,42,53,54,44,43,48,269,135,107
"9","Israel",32,4.3,25,4.2,NA,NA,NA,NA,NA,42,22,25,24,79,79,40,38,37,295,115,158
"10","Australia",30,3.8,32,3.2,17,2.8,23,2.4,102,51,13,7,8,88,88,61,50,62,362,173,176
"11","Hungary",30,2.9,33,2.6,19,2.6,21,2.7,103,14,50,30,30,67,67,44,43,47,318,134,134
"12","United States",28,4.8,30,4.7,24,2.5,27,2.7,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","United Kingdom",28,5.3,27,4.8,28,3,24,2.7,107,41,23,2,2,90,90,63,61,65,392,189,180
"14","Finland",27,2.6,35,3.1,22,2.3,29,2.6,113,52,12,15,15,78,78,71,63,73,375,207,156
"15","Norway",25,2.4,20,3.1,26,2.2,27,2.2,98,57,7,12,13,73,73,59,60,51,323,170,146
"16","Sweden",25,2.5,29,3.2,18,2.8,24,3.3,96,59,5,8,9,86,86,66,61,59,363,186,172
"17","Cyprus",24,1.6,17,1.9,22,2.9,18,3,81,47,17,NA,NA,62,62,27,34,32,234,93,124
"18","Portugal",22,3.2,28,2.9,21,2.6,16,2.6,87,38,26,20,25,57,57,54,51,53,298,158,114
"19","TIMSS Scale Centerpoint",22,0,22,NA,14,NA,14,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Italy",21,2.7,22,2.6,16,2.4,17,3,76,28,36,16,14,48,48,44,48,39,263,131,96
"21","Turkey",20,4.3,26,3.7,19,4.4,19,4.2,84,18,46,31,31,38,38,38,37,39,236,114,76
"22","Kazakhstan",19,3.3,16,3.1,15,2.5,13,3.1,63,20,44,70,71,28,29,9,25,10,145,44,57
"23","France",18,2.5,19,2.7,12,3,11,3,60,36,28,5,5,85,85,55,53,54,360,162,170
"24","New Zealand",17,3.4,21,3.5,13,2.6,15,2.3,66,43,21,14,11,69,69,66,52,67,344,185,138
"25","Bahrain",16,1.7,18,1.9,9,2.6,12,3.4,55,NA,NA,NA,NA,40,40,NA,NA,NA,NA,NA,80
"26","Romania",15,4.3,13,4.2,NA,NA,NA,NA,NA,7,57,40,47,44,44,31,26,24,226,81,88
"27","United Arab Emirates",14,1.9,14,2.2,10,1.7,10,2.1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Georgia",12,4.3,7,3.9,11,3.7,8,3.9,38,NA,NA,NA,NA,52,52,8,13,6,NA,27,104
"29","Malaysia",12,3.2,11,3.5,NA,NA,NA,NA,NA,39,25,39,38,28,28,22,32,31,166,85,56
