"","unicef_country","days_academic_break","days_fully_closed","days_fully_open","days_partially_closed","instruction_days","tracking_or_monitoring_of_student_learning","content_need_sensitive","Support_vulnerable","usage_of_remote_learning_platforms","parental_caregiver_support","curriculum_coverage","access_to_remote_learning","teacher_support","quality_remote_platform_content","prop_instruction","prop_closed","prop_break","prop_open","open_rank","instruction_rank","closed_rank","break_rank","schooling_index","date","c1_school_closing","c2_workplace_closing","c3_cancel_public_events","c4_restrictions_on_gatherings","c5_close_public_transport","c6_stay_at_home_requirements","c7_restrictions_on_internal_movement","c8_international_travel_controls","e1_income_support","e2_debt_contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h7_vaccination_policy","h8_protection_of_elderly_people","confirmed_cases","confirmed_deaths","stringency_index","government_response_index","economic_support_index","talent_competitiveness_ranking_imd","position_2020","best_countries_for_education_ranking_us_news_2020","best_countries_for_education_ranking_us_news_2021","quality_of_education_system_ceoworld","opportunity_in_education_ceoworld","pisa_reading_2018","pisa_math_2018","pisa_science_2018","iv_index_no_timss","pisa_index","ceoworld_index","m8_avg_scale_score","m8_scaled","s8_avg_scale_score","s8_scaled","m4_avg_scale_score","m4_scaled","s4_avg_scale_score","s4_scaled","TIMSS_score"
"1","Afghanistan",32,115,55,33,203,1,2,2,0,1,3,2,2,2,0.556164383561644,0.315068493150685,0.0876712328767123,0.150684931506849,87,168,35,168,458,20201215,1,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,3,0,0,49484,1975,12.04,20.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Angola",0,139,9,87,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.643835616438356,0.380821917808219,0,0.0246575342465753,59,198,27,198,482,20201215,2,2,1,3,1,1,1,4,0,0,0,0,2,2,0,0,0,3,0,0,16362,372,65.74,45.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Anguilla",62,20,93,60,173,1,1,1,2,2,2,2,2,2,0.473972602739726,0.0547945205479452,0.16986301369863,0.254794520547945,136,74,174,74,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Albania",77,41,92,25,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432876712328767,0.112328767123288,0.210958904109589,0.252054794520548,134,32,148,32,346,20201215,1,2,2,4,0,2,2,1,1,1,0,0,2,2,2,0,0,4,0,3,50000,1028,65.74,66.15,50,NA,NA,NA,NA,24,24,17,31,20,NA,68,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra",50,77,105,3,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506849315068493,0.210958904109589,0.136986301369863,0.287671232876712,152,120,74,120,466,20201215,1,2,2,4,1,0,0,1,2,2,0,0,2,3,2,0,0,3,0,2,7382,79,52.78,63.54,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","United Arab Emirates",67,168,0,0,168,3,3,2,3,3,3,3,3,3,0.46027397260274,0.46027397260274,0.183561643835616,0,1,55,14,55,125,20201215,1,1,2,4,0,0,1,2,0,2,0,0,2,3,2,0,0,3,1,0,187267,622,49.07,52.29,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1.9,14,2.2,10,1.7,10,2.1,48
"7","Argentina",33,111,3,88,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.553424657534247,0.304109589041096,0.0904109589041096,0.00821917808219178,29,165,38,165,397,20201215,3,2,2,4,2,2,2,3,1,2,0,0,2,2,2,0,0,3,0,1,1510203,41204,79.17,71.09,75,17,47,29,34,30,30,15,7,13,142,35,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Armenia",120,45,40,30,115,1,1,1,2,1,3,2,2,2,0.315068493150685,0.123287671232877,0.328767123287671,0.10958904109589,75,3,137,3,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Antigua and Barbuda",64,78,2,91,171,1,2,1,2,2,2,2,2,2,0.468493150684932,0.213698630136986,0.175342465753425,0.00547945205479452,24,64,73,64,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Australia",37,0,73,125,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.542465753424658,0,0.101369863013699,0.2,104,154,189,154,601,20201215,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,2,28060,908,62.5,60.42,75,51,13,7,8,88,88,61,50,62,362,173,176,30,3.8,32,3.2,17,2.8,23,2.4,102
"11","Austria",58,71,85,21,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484931506849315,0.194520547945205,0.158904109589041,0.232876712328767,124,84,88,84,380,20201215,1,2,2,4,1,2,1,3,2,2,0,0,2,3,2,0,0,3,0,3,327679,4648,71.3,76.04,100,58,6,13,16,51,50,50,56,51,264,157,101,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Azerbaijan",88,111,0,36,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402739726027397,0.304109589041096,0.241095890410959,0,1,12,38,12,63,20201215,3,3,2,4,1,2,2,4,1,0,0,0,2,2,2,0,0,4,0,3,183259,2007,80.09,67.71,12.5,NA,NA,61,65,23,23,10,23,11,NA,44,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Burundi",58,0,177,0,177,NA,NA,NA,NA,NA,NA,NA,3,NA,0.484931506849315,0,0.158904109589041,0.484931506849315,194,84,189,84,551,20201215,1,0,0,0,0,0,0,2,1,1,0,0,1,1,1,0,0,1,0,0,735,1,14.81,19.79,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Belgium",57,36,102,40,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487671232876712,0.0986301369863014,0.156164383561644,0.279452054794521,146,90,155,90,481,20201215,1,2,2,4,0,2,0,3,2,2,0,0,2,2,2,0,0,3,0,2,611422,18178,60.19,65.62,100,48,16,18,18,72,72,55,64,59,338,178,144,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Benin",54,21,105,55,181,1,1,1,1,1,1,2,1,2,0.495890410958904,0.0575342465753425,0.147945205479452,0.287671232876712,152,103,172,103,530,20201215,1,1,1,3,0,0,0,1,2,1,0,0,2,1,2,0,0,4,0,0,3090,44,35.19,42.19,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Burkina Faso",85,48,81,21,150,2,2,2,3,3,3,3,3,3,0.410958904109589,0.131506849315068,0.232876712328767,0.221917808219178,118,16,134,16,284,20201215,0,0,0,0,0,0,0,1,0,0,0,0,2,3,2,0,0,3,0,0,4300,73,13.89,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Bangladesh",33,198,4,0,202,2,2,1,3,2,3,3,2,3,0.553424657534247,0.542465753424658,0.0904109589041096,0.010958904109589,49,165,3,165,382,20201215,3,3,2,4,2,2,2,3,0,2,0,0,2,2,1,0,0,4,1,0,494209,7129,80.09,66.09,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Bulgaria",70,80,41,44,165,1,1,1,2,1,3,2,2,3,0.452054794520548,0.219178082191781,0.191780821917808,0.112328767123288,76,46,70,46,238,20201215,2,3,2,2,0,0,0,3,1,2,0,0,2,1,2,0,0,3,0,0,184287,6005,54.63,53.12,75,9,55,43,49,42,42,24,30,23,216,77,84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Bahrain",62,108,0,65,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473972602739726,0.295890410958904,0.16986301369863,0,1,74,41,74,190,20201215,1,2,2,4,0,1,0,1,2,2,0,0,2,3,2,0,0,3,0,2,89444,348,50.93,60.94,87.5,NA,NA,NA,NA,40,40,NA,NA,NA,NA,NA,80,16,1.7,18,1.9,9,2.6,12,3.4,55
"20","Bahamas",66,95,3,71,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463013698630137,0.26027397260274,0.180821917808219,0.00821917808219178,29,57,57,57,200,20201215,3,2,2,4,1,2,2,1,0,0,0,0,2,1,2,0,0,3,0,3,7698,164,68.98,58.07,0,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Bosnia and Herzegovina",81,54,0,100,154,2,1,1,2,1,2,3,2,2,0.421917808219178,0.147945205479452,0.221917808219178,0,1,27,123,27,178,20201215,1,1,2,3,0,2,0,1,0,0,0,0,2,2,0,0,0,3,0,3,102330,3457,48.15,41.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Belarus",76,0,159,0,159,3,1,1,3,2,3,2,2,3,0.435616438356164,0,0.208219178082192,0.435616438356164,189,36,189,36,450,20201215,0,0,1,4,0,1,0,4,0,0,0,0,1,3,2,0,0,3,0,1,164059,1282,37.04,39.32,0,NA,NA,51,52,NA,NA,42,40,42,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Belize",74,70,8,83,161,1,1,NA,3,2,2,2,2,2,0.441095890410959,0.191780821917808,0.202739726027397,0.0219178082191781,56,40,91,40,227,20201215,3,2,2,4,1,1,2,1,1,2,0,0,2,2,2,0,0,3,0,1,9511,211,72.22,65.62,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bolivia (Plurinational State of)",40,192,1,2,195,1,2,1,1,0,3,2,3,1,0.534246575342466,0.526027397260274,0.10958904109589,0.00273972602739726,20,146,4,146,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Brazil",34,191,1,9,201,1,1,1,2,1,NA,2,1,2,0.550684931506849,0.523287671232877,0.0931506849315069,0.00273972602739726,20,162,5,162,349,20201215,3,3,2,4,1,2,2,1,1,1,0,0,2,2,2,0,0,4,0,1,6970034,182799,67.13,62.76,50,5,59,30,36,45,45,21,9,13,192,43,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
